,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
243,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,1996-01-12 00:06:00,10,1,INE829A01014,10
1669,TNPL,Tamil Nadu Newsprint & Papers Limited,EQ,1996-01-14 00:02:00,10,1,INE107A01015,10
1531,SPMLINFRA,SPML Infra Limited,EQ,1996-01-14 00:02:00,2,1,INE937A01023,2
1512,SOMATEX,Soma Textiles & Industries Limited,EQ,1996-01-14 00:08:00,10,1,INE314C01013,10
1071,MOTHERSON,Samvardhana Motherson International Limited,EQ,1996-01-14 00:08:00,1,1,INE775A01035,1
315,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,1996-01-15 00:05:00,2,1,INE121A01024,2
1378,RUCHINFRA,Ruchi Infrastructure Limited,BE,1996-01-16 00:10:00,1,1,INE413B01023,1
1150,NOCIL,NOCIL Limited,EQ,1996-01-17 00:01:00,10,1,INE163A01018,10
1453,SHANTIGEAR,Shanthi Gears Limited,EQ,1996-01-17 00:01:00,1,1,INE631A01022,1
365,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,1996-01-17 00:01:00,2,1,INE495A01022,2
449,EIMCOELECO,Eimco Elecon (India) Limited,EQ,1996-01-17 00:04:00,10,1,INE158B01016,10
162,AUSOMENT,Ausom Enterprise Limited,EQ,1996-01-17 00:04:00,10,1,INE218C01016,10
799,JAYAGROGN,Jayant Agro Organics Limited,EQ,1996-01-17 00:04:00,5,1,INE785A01026,5
1200,PANACEABIO,Panacea Biotec Limited,EQ,1996-01-17 00:04:00,1,1,INE922B01023,1
1568,SUNDRMBRAK,Sundaram Brake Linings Limited,EQ,1996-01-17 00:07:00,10,1,INE073D01013,10
1405,SANGAMIND,Sangam (India) Limited,EQ,1996-01-17 00:07:00,10,1,INE495C01010,10
1076,MRF,MRF Limited,EQ,1996-01-18 00:09:00,10,1,INE883A01011,10
1788,WALCHANNAG,Walchandnagar Industries Limited,BE,1996-01-18 00:09:00,2,1,INE711A01022,2
25,ACC,ACC Limited,EQ,1996-01-20 00:11:00,10,1,INE012A01025,10
1485,SILINV,SIL Investments Limited,EQ,1996-01-22 00:05:00,10,1,INE923A01015,10
404,DHARSUGAR,Dharani Sugars&Chemicals Limited,BZ,1996-01-22 00:05:00,10,1,INE988C01014,10
639,HDFC,Housing Development Finance Corporation Limited,EQ,1996-01-23 00:10:00,2,1,INE001A01036,2
80,ALPSINDUS,Alps Industries Limited,EQ,1996-01-24 00:04:00,10,1,INE093B01015,10
1231,PGHL,Procter & Gamble Health Limited,EQ,1996-01-24 00:04:00,10,1,INE199A01012,10
356,CUBEXTUB,Cubex Tubings Limited,EQ,1996-01-24 00:04:00,10,1,INE144D01012,10
571,GODFRYPHLP,Godfrey Phillips India Limited,EQ,1996-01-24 00:07:00,2,1,INE260B01028,2
